原材料名称,品类,采购单价,月使用量,总成本,损耗率(%),损耗原因,采购批次,损耗成本
液压元件,主料,5200,55,286000,5.85,存储不当,批次1,16731.0
液压元件,主料,5200,55,286000,4.71,存储不当,批次2,13470.6
液压元件,主料,5200,55,286000,5.49,质量问题,批次3,15701.4
碳纤维材料,主料,8500,25,212500,3.61,运输破损,批次1,7671.25
碳纤维材料,主料,8500,25,212500,6.7,运输破损,批次2,14237.5
碳纤维材料,主料,8500,25,212500,4.66,加工工艺,批次3,9902.5
钛合金,主料,12000,18,216000,3.15,存储不当,批次1,6804.0
钛合金,主料,12000,18,216000,4.56,加工工艺,批次2,9849.6
钛合金,主料,12000,18,216000,3.94,加工工艺,批次3,8510.4
陶瓷原料,主料,3200,65,208000,3.67,存储不当,批次1,7633.6
陶瓷原料,主料,3200,65,208000,3.09,质量问题,批次2,6427.2
陶瓷原料,主料,3200,65,208000,6.04,质量问题,批次3,12563.2
纺织面料,主料,950,180,171000,3.0,质量问题,批次1,5130.0
纺织面料,主料,950,180,171000,6.13,质量问题,批次2,10482.3
纺织面料,主料,950,180,171000,3.0,存储不当,批次3,5130.0
木材,主料,1500,140,210000,5.54,质量问题,批次1,11634.0
木材,主料,1500,140,210000,4.9,加工工艺,批次2,10290.0
木材,主料,1500,140,210000,3.49,存储不当,批次3,7329.0
焊接材料,辅料,280,300,84000,6.56,加工工艺,批次1,5510.4
焊接材料,辅料,280,300,84000,6.2,过期报废,批次2,5208.0
焊接材料,辅料,280,300,84000,5.21,加工工艺,批次3,4376.4
密封件,辅料,150,450,67500,6.58,存储不当,批次1,4441.5
密封件,辅料,150,450,67500,8.15,存储不当,批次2,5501.25
密封件,辅料,150,450,67500,11.66,存储不当,批次3,7870.5
紧固件,辅料,80,600,48000,5.72,过期报废,批次1,2745.6
紧固件,辅料,80,600,48000,10.6,运输破损,批次2,5088.0
紧固件,辅料,80,600,48000,10.41,加工工艺,批次3,4996.8
润滑油,辅料,350,250,87500,8.07,加工工艺,批次1,7061.25
润滑油,辅料,350,250,87500,11.11,存储不当,批次2,9721.25
润滑油,辅料,350,250,87500,3.71,加工工艺,批次3,3246.25
涂料,辅料,420,200,84000,3.05,加工工艺,批次1,2562.0
涂料,辅料,420,200,84000,10.63,存储不当,批次2,8929.2
涂料,辅料,420,200,84000,5.45,质量问题,批次3,4578.0
胶粘剂,辅料,180,380,68400,7.75,存储不当,批次1,5301.0
胶粘剂,辅料,180,380,68400,13.05,存储不当,批次2,8926.2
胶粘剂,辅料,180,380,68400,10.96,加工工艺,批次3,7496.64
绝缘材料,辅料,260,320,83200,6.57,存储不当,批次1,5466.24
绝缘材料,辅料,260,320,83200,11.12,加工工艺,批次2,9251.84
绝缘材料,辅料,260,320,83200,8.41,运输破损,批次3,6997.12
过滤材料,辅料,120,500,60000,14.2,运输破损,批次1,8520.0
过滤材料,辅料,120,500,60000,4.77,存储不当,批次2,2862.0
过滤材料,辅料,120,500,60000,8.72,存储不当,批次3,5232.0
研磨材料,辅料,95,420,39900,9.4,存储不当,批次1,3750.6
研磨材料,辅料,95,420,39900,10.29,运输破损,批次2,4105.71
研磨材料,辅料,95,420,39900,5.88,运输破损,批次3,2346.12
清洗剂,辅料,65,550,35750,7.68,运输破损,批次1,2745.6
清洗剂,辅料,65,550,35750,13.52,运输破损,批次2,4833.4
清洗剂,辅料,65,550,35750,3.76,加工工艺,批次3,1344.2
防锈剂,辅料,140,400,56000,4.25,过期报废,批次1,2380.0
防锈剂,辅料,140,400,56000,12.56,加工工艺,批次2,7033.6
防锈剂,辅料,140,400,56000,7.88,加工工艺,批次3,4412.8
催化剂,辅料,580,150,87000,5.63,运输破损,批次1,4898.1
催化剂,辅料,580,150,87000,3.07,加工工艺,批次2,2670.9
催化剂,辅料,580,150,87000,11.17,过期报废,批次3,9717.9
纸箱,包装材料,25,800,20000,11.12,存储不当,批次1,2224.0
纸箱,包装材料,25,800,20000,9.18,过期报废,批次2,1836.0
纸箱,包装材料,25,800,20000,15.09,存储不当,批次3,3018.0
塑料袋,包装材料,12,1200,14400,14.2,存储不当,批次1,2044.8
塑料袋,包装材料,12,1200,14400,10.66,质量问题,批次2,1535.04
塑料袋,包装材料,12,1200,14400,12.67,存储不当,批次3,1824.48
泡沫板,包装材料,35,600,21000,17.22,存储不当,批次1,3616.2
泡沫板,包装材料,35,600,21000,18.03,运输破损,批次2,3786.3
泡沫板,包装材料,35,600,21000,11.88,加工工艺,批次3,2494.8
木托盘,包装材料,85,350,29750,17.81,运输破损,批次1,5298.47
木托盘,包装材料,85,350,29750,14.85,加工工艺,批次2,4417.88
木托盘,包装材料,85,350,29750,14.42,加工工艺,批次3,4289.95
缠绕膜,包装材料,45,480,21600,11.68,质量问题,批次1,2522.88
缠绕膜,包装材料,45,480,21600,10.27,存储不当,批次2,2218.32
缠绕膜,包装材料,45,480,21600,5.7,加工工艺,批次3,1231.2
标签纸,包装材料,8,1500,12000,7.15,加工工艺,批次1,858.0
标签纸,包装材料,8,1500,12000,6.49,运输破损,批次2,778.8
标签纸,包装材料,8,1500,12000,7.09,加工工艺,批次3,850.8
缓冲材料,包装材料,55,400,22000,6.63,加工工艺,批次1,1458.6
缓冲材料,包装材料,55,400,22000,5.86,加工工艺,批次2,1289.2
缓冲材料,包装材料,55,400,22000,15.84,运输破损,批次3,3484.8
打包带,包装材料,18,900,16200,12.59,存储不当,批次1,2039.58
打包带,包装材料,18,900,16200,7.12,加工工艺,批次2,1153.44
打包带,包装材料,18,900,16200,5.0,过期报废,批次3,810.0
